section,filename,source_upload
01_intro,01_winter-road.jpeg,IMG_1921.jpeg
01_intro,02_aerial-river.jpeg,9B77C206-361B-43BC-BA6E-4F6B1CF4D5A5.jpeg
01_intro,03_plane-parrot.jpeg,AF89FD3C-5E8C-4446-B676-A2F36DC19570.jpeg
02_amazon,01_boat-distant-river.jpeg,8ED5B0A4-B9A6-4138-812D-3F38CA0B6736.jpeg
02_amazon,02_palms-reflection.jpeg,5F5422DC-981B-44C1-A990-5C074B7896A3.jpeg
02_amazon,03_boat-jungle-channel.jpeg,8180A7F5-968E-4BD1-BF1F-D6ED769E655A.jpeg
02_amazon,04_river-hut-wide.jpeg,71D3755A-D035-4EA4-A2BC-968EF9F2D656.jpeg
03_puinave,01_tree-village.jpeg,4C1D4EC1-F8E3-4B5C-8757-EB9DDF12DFAE.jpeg
03_puinave,02_group-with-locals.jpeg,2B7998C7-60C2-410D-A092-9E16D719C3D4.jpeg
03_puinave,03_red-flower-detail.jpeg,33070E8A-C9AD-40AD-8F97-6240AC68FCE1.jpeg
03_puinave,04_bird-on-pole.jpeg,C7E9BA01-B5CA-473C-B28D-8B93D7FE47F0.jpeg
04_expedition,01_locals-canoe.jpeg,993F6960-E278-434F-99EB-B2B66D62F744.jpeg
04_expedition,02_boat-prep.jpeg,8CEA52E6-5391-453D-B650-A69D94FE6C18.jpeg
04_expedition,03_arrival-boat.jpeg,F6071E8A-0136-4AB4-B8BE-79EEAA4B10EB.jpeg
04_expedition,04_you-boat-sunset-camera.jpeg,FBA36C37-92DB-4608-8EFD-B1D982572B8C.jpeg
04_expedition,05_lure-detail-hand.jpeg,4BED6570-B163-41EA-A699-70E38982ACA8.jpeg
05_fishing,01_big-peacock-bass-hero.jpeg,IMG_2270.jpeg
05_fishing,02_golden-fish-hoodie.jpeg,C28F093E-B2DF-42F7-87B8-11B990518803.jpeg
05_fishing,03_peacock-bass-standing.jpeg,1516BA9D-29E1-44CD-B72B-1F27084AA8AA.jpeg
05_fishing,04_fish-eye-detail.jpeg,63CE94C2-3DDE-43E3-B0AA-1D167C947150.jpeg
05_fishing,05_fish-with-lure.jpeg,77DEE75F-F108-4BC5-BFB1-F5894888D2E6.jpeg
05_fishing,06_fish-vertical-hook.jpeg,11AD7244-4748-4362-B155-D3763BB14047.jpeg
05_fishing,07_teeth-detail.jpeg,20F84F40-EF5A-4019-9A5F-EA5EA4141390.jpeg
06_mavicure,01_mavicure-wide-hero.jpeg,8FDE7367-CF4F-4E54-8390-4EEAE79495CB.jpeg
06_mavicure,02_mavicure-plant-foreground.jpeg,781436BC-4938-4769-BB08-3E257F9D283B.jpeg
06_mavicure,03_mavicure-rock-texture.jpeg,D1A99D87-032B-4C71-B9BC-DE8EE4945B32.jpeg
06_mavicure,04_mavicure-drone-view.jpeg,CAD862AD-9134-4472-AF5E-06FC6F509FE5.jpeg
07_waterfalls,01_moss-detail.jpeg,73221B9C-0994-4CFB-A1FD-16D24C622808.jpeg
07_waterfalls,02_waterfall-fern-frame.jpeg,4A2D408E-BC6C-4543-82B7-4EE4D2567947.jpeg
07_waterfalls,03_waterfall-dramatic.jpeg,B4245785-52CA-468D-B110-0488132D634C.jpeg
07_waterfalls,04_valley-jungle-wide.jpeg,B2DB8533-517F-4D08-A7E9-72203778136B.jpeg
08_bogota,01_city-panorama-flowers.jpeg,B2F287C9-8FB4-4C84-B174-9F6FD988D2E8.jpeg
08_bogota,02_cathedral-night.jpeg,3243B5F5-CFC0-4841-9A5D-C54B6AB707B1.jpeg
08_bogota,03_mural-portrait.jpeg,FCF8AC61-A568-4F29-A37F-91437E7478DD.jpeg
08_bogota,04_blue-face-graffiti.jpeg,8B55394D-627F-45BF-9095-0C972E01811A.jpeg
08_bogota,05_night-street-lights.jpeg,16EE0017-4A9B-4A8B-8005-AC16F32D6A21.jpeg
08_bogota,06_coffee-epilogue.jpeg,167E2910-3B5F-4877-8317-1296BD4CDE87.jpeg
